restaurant_id,name,city,locality,cuisines,avg_cost_for_two,currency,rating,votes
146,Anna Kuteera,Bengaluru,Banashankari,"South Indian, North Indian, Chinese",450.0,INR,4.0,771
147,Darbar,Bengaluru,Banashankari,"North Indian, Chinese",800.0,INR,3.0,98
148,Vijayalakshmi,Bengaluru,Banashankari,South Indian,200.0,INR,3.9,47
149,Sri Udupi Food Hub,Bengaluru,Banashankari,"South Indian, North Indian, Chinese, Beverages",500.0,INR,4.1,175
150,Udupi Upahar,Bengaluru,Banashankari,"South Indian, Chinese, North Indian, Juices",300.0,INR,3.8,58
151,House Of Kebabs,Bengaluru,Banashankari,"North Indian, Kebab, Biryani, Chinese",650.0,INR,3.8,540
152,Roll N Rock,Bengaluru,Banashankari,"Chinese, North Indian, Mughlai, Rolls",400.0,INR,3.8,124
153,BOX8- Desi Meals,Bengaluru,Banashankari,"North Indian, Mughlai, Fast Food",500.0,INR,4.1,340
154,KFC,Bengaluru,Banashankari,"Burger, Fast Food",450.0,INR,3.8,505
155,Bitez,Bengaluru,Banashankari,Fast Food,100.0,INR,0.0,0
156,Roll Over,Bengaluru,Banashankari,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,INR,4.1,438
157,Imperial Restaurant,Bengaluru,Banashankari,"North Indian, Chinese, Biryani, Beverages",750.0,INR,3.7,264
158,Lassi Shop,Bengaluru,Banashankari,"Beverages, Juices, Ice Cream",150.0,INR,3.9,169
159,The Fortuna,Bengaluru,Banashankari,"North Indian, Chinese",250.0,INR,3.0,67
160,Wahab,Bengaluru,Banashankari,"North Indian, Mughlai, Chinese",350.0,INR,3.7,97
161,Al Diwan Biryanis And More,Bengaluru,Banashankari,Biryani,300.0,INR,3.3,12
162,New Gowda's Fried Chicken,Bengaluru,Banashankari,Biryani,300.0,INR,3.3,12
163,Canton,Bengaluru,Banashankari,"Chinese, Seafood, Biryani",800.0,INR,3.6,195
164,Diabetics Dezire Sugarless Sweets and Bakes,Bengaluru,Banashankari,"Desserts, Mithai",300.0,INR,3.3,13
165,The Blue Wagon - Kitchen,Bengaluru,Banashankari,"Cafe, Beverages",400.0,INR,4.6,228
166,HOT COFFEE,Bengaluru,Banashankari,"South Indian, Chinese",150.0,INR,4.1,70
167,Patio 805,Bengaluru,Banashankari,"Thai, Vietnamese, Asian, Chinese",1200.0,INR,4.1,364
168,Lassi Corner,Bengaluru,Banashankari,"Beverages, Ice Cream",150.0,INR,3.7,107
169,Sagar Deluxe,Bengaluru,Banashankari,"South Indian, North Indian, Chinese, Juices",300.0,INR,3.2,167
170,Kanti Sweets,Bengaluru,Banashankari,"Mithai, Street Food",400.0,INR,4.0,115
171,Vegetalia,Bengaluru,Banashankari,"Italian, Pizza",400.0,INR,3.7,27
172,Aramane Donne Biryani,Bengaluru,Banashankari,Biryani,200.0,INR,3.5,57
173,Ande Ka Funda,Bengaluru,Banashankari,"North Indian, Fast Food, Rolls",250.0,INR,3.8,120
174,Cake Ghar,Bengaluru,Banashankari,Bakery,400.0,INR,3.8,15
175,Energy Addaa,Bengaluru,Banashankari,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,INR,4.2,64
176,Bhattara Bhojana,Bengaluru,Banashankari,South Indian,150.0,INR,3.6,66
177,Tandoori Knight,Bengaluru,Banashankari,"North Indian, Chinese, Biryani, Kebab",450.0,INR,3.0,290
178,Dev Sagar - Food Street,Bengaluru,Banashankari,Street Food,200.0,INR,4.1,233
179,Mitraa Da Pizza,Bengaluru,Banashankari,"Fast Food, Pizza",250.0,INR,3.8,115
180,Paradise Premium,Bengaluru,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700.0,INR,3.1,119
181,Grazers,Bengaluru,Banashankari,"Cafe, Burger, Continental, Italian, Desserts",650.0,INR,3.9,291
182,Shakes Theory,Bengaluru,Banashankari,"Beverages, Sandwich",300.0,INR,4.5,155
183,@Italy,Bengaluru,Banashankari,Italian,700.0,INR,4.1,305
184,Chilli Flakes,Bengaluru,Banashankari,"Fast Food, Italian, Beverages",500.0,INR,3.6,46
185,Calcutta Cafe,Bengaluru,Banashankari,"Bengali, Chinese, Sandwich",350.0,INR,3.5,45
186,Old Mumbai Ice Cream,Bengaluru,Banashankari,Ice Cream,150.0,INR,3.9,38
187,Donne Biriyani House,Bengaluru,Banashankari,"South Indian, North Indian, Chinese, Biryani",400.0,INR,3.9,441
188,By 2 Coffee,Bengaluru,Banashankari,South Indian,100.0,INR,3.9,25
189,Kedia's Fun Food,Bengaluru,Banashankari,"North Indian, Street Food, Juices",200.0,INR,4.3,630
190,Davangere Butter Dosa Hotel,Bengaluru,Banashankari,South Indian,150.0,INR,3.8,25
191,Just Shawarma,Bengaluru,Banashankari,Arabian,300.0,INR,3.9,160
192,Mini Punjabi Dhaba,Bengaluru,Banashankari,North Indian,350.0,INR,4.2,287
193,Mulabagilu Dosa,Bengaluru,Banashankari,South Indian,100.0,INR,3.6,11
195,Gokul Veg,Bengaluru,Banashankari,"North Indian, Chinese, Beverages",750.0,INR,3.8,469
196,Olive - Era,Bengaluru,Banashankari,"Bbq, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,INR,3.3,511
197,Udupi Ruchi,Bengaluru,Banashankari,"South Indian, North Indian, Chinese, Street Food",200.0,INR,3.9,57
198,Madhappa Hindu Military Hotel,Bengaluru,Banashankari,South Indian,300.0,INR,3.4,14
199,Gama Gama,Bengaluru,Banashankari,South Indian,200.0,INR,3.9,264
201,Pizza Hut,Bengaluru,Banashankari,"Pizza, Fast Food",750.0,INR,3.8,693
202,Mangalore Pearl,Bengaluru,Banashankari,"Mangalorean, Seafood, Chinese, Biryani",650.0,INR,3.8,242
203,Asha Sweets Centre,Bengaluru,Banashankari,Fast Food,250.0,INR,3.6,27
204,Twiststick House,Bengaluru,Banashankari,"Continental, Fast Food, Street Food, Momos",500.0,INR,4.1,163
205,Cool Corner,Bengaluru,Banashankari,"Street Food, Fast Food",250.0,INR,4.2,191
206,Pizza Mane,Bengaluru,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150.0,INR,3.5,32
207,Dal Tadkaa,Bengaluru,Banashankari,North Indian,500.0,INR,2.5,247
208,Chutney Chang,Bengaluru,Banashankari,"North Indian, Chinese, Bbq",1500.0,INR,4.1,2339
209,Mystique Palate,Bengaluru,Banashankari,"Chinese, Fast Food",300.0,INR,4.1,337
210,Thamboola,Bengaluru,Banashankari,"North Indian, Chinese, Continental",800.0,INR,3.9,135
211,Castle Rock,Bengaluru,Banashankari,"North Indian, Chinese",700.0,INR,3.6,172
212,Vietnamese Kitchen,Bengaluru,Banashankari,Vietnamese,700.0,INR,3.6,105
214,C Corner,Bengaluru,Banashankari,"Fast Food, Street Food",200.0,INR,3.2,36
215,Paratha Merchant,Bengaluru,Banashankari,North Indian,300.0,INR,3.1,39
216,North Rasoe,Bengaluru,Banashankari,"North Indian, Chinese, Biryani, Kebab",500.0,INR,3.1,5
217,Inchara Restaurant,Bengaluru,Banashankari,"North Indian, Chinese",300.0,INR,0.0,0
218,Toscano,Bengaluru,Banashankari,"Italian, Salad",1300.0,INR,4.3,1129
219,Lord Of The Kitchen,Bengaluru,Banashankari,"North Indian, Chinese",350.0,INR,3.9,56
220,Stoned Monkey,Bengaluru,Banashankari,"Desserts, Ice Cream",500.0,INR,4.3,860
221,Central Jail Restaurant,Bengaluru,Banashankari,"Andhra, Seafood, North Indian, Chinese",700.0,INR,3.8,412
222,Bella,Bengaluru,Banashankari,"Mangalorean, Seafood, South Indian",1000.0,INR,3.9,142
223,Vennela Andhra Meals,Bengaluru,Banashankari,Andhra,400.0,INR,3.0,23
224,New Prashanth Hotel,Bengaluru,Banashankari,"South Indian, Biryani, Chinese, North Indian",750.0,INR,3.6,143
225,The Grillo,Bengaluru,Banashankari,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,INR,2.8,80
226,Re Malnad Nati Style Hotel,Bengaluru,Banashankari,South Indian,400.0,INR,3.6,16
227,Karma Kaapi,Bengaluru,Banashankari,"Beverages, Tea",250.0,INR,4.4,181
228,Tiwari's,Bengaluru,Banashankari,"North Indian, Street Food",200.0,INR,3.8,70
229,Pizza Stop,Bengaluru,Banashankari,"Pizza, Italian",600.0,INR,3.8,164
230,Biggies Burger 'n' More,Bengaluru,Banashankari,"Cafe, Burger, Beverages",650.0,INR,3.6,58
232,Kollapuri's,Bengaluru,Banashankari,"South Indian, Mangalorean",450.0,INR,3.9,206
233,Sugar Stars Co,Bengaluru,Banashankari,"Bakery, Desserts",300.0,INR,0.0,0
234,Bombay Kulfis,Bengaluru,Banashankari,Ice Cream,200.0,INR,0.0,0
235,Kadamba Classic,Bengaluru,Banashankari,South Indian,300.0,INR,3.6,16
236,RS Shiv Sagar,Bengaluru,Banashankari,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,INR,3.7,217
237,Kholi Mane,Bengaluru,Banashankari,"Andhra, South Indian, Biryani, North Indian",450.0,INR,3.6,46
238,Harshi Super Sandwich,Bengaluru,Banashankari,"Fast Food, Street Food",150.0,INR,3.8,148
239,Cake Yard,Bengaluru,Banashankari,Desserts,250.0,INR,3.4,30
241,Sri Udupi Veg,Bengaluru,Banashankari,South Indian,250.0,INR,3.3,4
242,Cake Art,Bengaluru,Banashankari,Bakery,400.0,INR,3.5,15
